far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
2,2,7,5,8,9,0.222222222
6,6,25,24,20,32,0.1875
2,0,1,1,2,2,0.5
3,0,4,3,5,5,0.6
2,4,5,6,4,10,0.2
1,0,0,1,0,1,0.5
2,2,5,3,3,7,0.285714286
4,2,8,9,6,12,0.333333333
6,3,12,13,10,18,0.333333333
8,9,14,18,17,27,0.296296296
1,0,1,1,1,1,0.5
2,0,1,1,2,2,0.5
2,2,5,6,4,8,0.25
10,11,32,28,27,48,0.208333333
2,1,1,3,4,4,0.5
2,0,2,1,2,3,0.666666667
10,13,38,42,32,56,0.178571429
3,0,3,2,3,4,0.75
1,0,1,1,1,1,0.5
19,11,42,35,45,59,0.322033898
1,0,0,1,0,1,0.5
2,0,1,2,2,2,0.5
15,18,55,44,52,75,0.2
15,20,41,44,44,66,0.227272727
1,0,1,0,0,1,0.5
5,2,10,8,10,13,0.384615385
12,10,23,29,27,41,0.292682927
10,5,26,22,21,33,0.303030303
5,4,9,6,9,13,0.384615385
10,8,19,21,19,30,0.333333333
8,9,17,17,19,28,0.285714286
10,6,25,24,20,34,0.294117647
1,0,0,1,1,1,0.5
1,0,1,0,1,1,0.5
2,1,9,7,5,10,0.2
1,0,0,0,0,1,0.5
2,2,3,4,4,5,0.4
1,0,1,0,1,1,0.5
6,19,36,43,24,57,0.105263158
3,1,4,4,3,6,0.5
2,0,2,2,1,2,0.5
6,7,21,18,20,29,0.206896552
11,12,19,25,19,36,0.305555556
6,5,18,14,20,25,0.24
3,5,7,8,7,13,0.230769231
6,4,15,16,14,22,0.272727273
1,0,1,0,0,1,0.5
1,0,0,1,1,1,0.5
8,14,22,27,24,41,0.195121951
18,35,62,67,54,100,0.18
14,28,45,53,55,79,0.17721519
3,0,3,3,3,4,0.75
5,3,5,7,7,10,0.5
9,6,38,27,34,45,0.2
4,4,5,7,9,12,0.333333333
18,22,64,65,63,95,0.189473684
1,0,1,1,1,1,0.5
5,3,12,9,12,17,0.294117647
1,0,1,1,0,1,0.5
7,10,20,20,27,32,0.21875
4,3,9,13,9,15,0.266666667
1,0,1,0,0,1,0.5
2,0,1,2,1,2,0.5
13,12,29,27,22,44,0.295454545
5,6,12,9,15,19,0.263157895
14,16,44,40,44,66,0.212121212
18,18,57,49,59,86,0.209302326
7,7,22,21,23,31,0.225806452
4,2,5,3,7,9,0.444444444
1,0,0,1,0,1,0.5
2,2,9,6,10,11,0.181818182
2,1,5,4,4,6,0.333333333
3,3,7,7,4,11,0.272727273
4,3,5,8,7,11,0.363636364
1,0,1,1,1,1,0.5
1,0,0,1,1,1,0.5
6,12,26,24,23,40,0.15
12,13,32,32,40,47,0.255319149
1,0,0,1,1,1,0.5
6,10,16,14,21,28,0.214285714
9,6,23,22,24,30,0.3
5,8,11,16,16,23,0.217391304
3,0,6,4,5,7,0.428571429
8,13,21,21,25,36,0.222222222
6,3,17,16,13,22,0.272727273
3,1,4,4,4,5,0.6
2,0,5,4,5,5,0.4
1,0,0,1,0,1,0.5
3,2,4,3,5,6,0.5
2,2,5,4,6,7,0.285714286
2,3,8,7,10,13,0.153846154
7,0,6,6,5,8,0.875
1,0,1,0,1,1,0.5
6,3,23,15,17,29,0.206896552
13,8,29,19,21,39,0.333333333
2,7,13,16,12,21,0.095238095
1,0,0,1,1,1,0.5
15,6,20,26,21,34,0.441176471
3,2,8,4,9,10,0.3
1,0,0,0,0,1,0.5
1,0,1,1,1,1,0.5
4,1,8,5,9,10,0.4
12,9,22,24,26,38,0.315789474
18,15,55,46,53,76,0.236842105
1,0,1,1,1,1,0.5
1,0,0,0,1,1,0.5
13,21,42,40,45,68,0.191176471
